대지위치,착공예정일,실착공일,사용승인일,위도,경도
경기도 광명시 하안동 863,20061130.0,20061130.0,20091103.0,37.469236,126.872222
경기도 광명시 가학동 208-2,20071105.0,20071205.0,20080319.0,37.4163875,126.8611083
경기도 광명시 가학동 208-4,20071205.0,20071205.0,20080320.0,37.4163585,126.8612954
경기도 광명시 가학동 309,20070620.0,20070619.0,20071101.0,37.4195551,126.856374
경기도 광명시 가학동 310,20070319.0,20070315.0,20070518.0,37.4198078,126.8565816
경기도 광명시 가학동 310-2,20071102.0,20071102.0,20080109.0,37.42025150000001,126.8566209
경기도 광명시 가학동 334,20071031.0,20071031.0,20080212.0,37.4214017,126.8567219
경기도 광명시 가학동 387-1,20070507.0,20070613.0,20071113.0,37.4238868,126.8459398
경기도 광명시 가학동 913-1,20070827.0,20070827.0,20071122.0,37.4076147,126.8546179
경기도 광명시 가학동 1020-1,20071120.0,,,37.4033856,126.8635298
경기도 광명시 광명동 12-45,20070801.0,20070801.0,20090120.0,37.4857721,126.8582809
경기도 광명시 광명동 57-3,20070504.0,20070504.0,20070827.0,37.48412709999999,126.8568421
경기도 광명시 광명동 68-10,20070914.0,20070914.0,20080627.0,37.4835531,126.8604354
경기도 광명시 광명동 69-18,20071012.0,20071012.0,20080604.0,37.4834935,126.8606375
경기도 광명시 광명동 78-16,20070723.0,,,37.48266419999999,126.8612165
경기도 광명시 광명동 297-39,20070306.0,20070306.0,20070529.0,37.474816,126.8531368
경기도 광명시 광명동 578-5,20070103.0,20070103.0,20070504.0,37.4629084,126.8533019
경기도 광명시 광명동 751-1,20071120.0,20071120.0,20080617.0,37.4702138,126.8491364
경기도 광명시 광명동 783,20070226.0,20070226.0,20080128.0,37.4691915,126.8513007
경기도 광명시 광명동 783,20070226.0,20070226.0,20080128.0,37.4691915,126.8513007
경기도 광명시 노온사동 149-2,20070526.0,20070525.0,20070905.0,37.4520099,126.8472978
경기도 광명시 노온사동 155-1,20070823.0,20070821.0,20071121.0,37.4519502,126.8493155
경기도 광명시 노온사동 157-3,20070427.0,20070427.0,20070720.0,37.4520506,126.8496751
경기도 광명시 노온사동 157-6,20070809.0,20070806.0,20071010.0,37.4522857,126.8498826
경기도 광명시 노온사동 186,20070827.0,20070827.0,20071129.0,37.45112659999999,126.8487919
경기도 광명시 노온사동 216-9,20070320.0,20070313.0,20070601.0,37.4492923,126.8463655
경기도 광명시 노온사동 220-8,20071213.0,20071213.0,20080326.0,37.4481773,126.8487706
경기도 광명시 노온사동 220-16,20070911.0,20070911.0,20080310.0,37.4485066,126.8480165
경기도 광명시 노온사동 220-17,20070910.0,20070910.0,20071220.0,37.4485524,126.8477945
경기도 광명시 노온사동 221-1,20070911.0,20070911.0,20071102.0,37.4483764,126.8471767
경기도 광명시 노온사동 221-7,20070830.0,20070830.0,20080204.0,37.4484945,126.8473668
경기도 광명시 노온사동 352-6,20071004.0,20071002.0,20080204.0,37.4443282,126.8454604
경기도 광명시 노온사동 352-9,20071004.0,20071002.0,20080204.0,37.4442934,126.8457852
경기도 광명시 노온사동 372-14,20071019.0,20071019.0,20071227.0,37.4428465,126.8454286
경기도 광명시 노온사동 372-32,20071012.0,20071012.0,20080118.0,37.4524578,126.8488876
경기도 광명시 노온사동 372-33,20071012.0,20071012.0,20080118.0,37.4429177,126.8451761
경기도 광명시 노온사동 419-3,20071121.0,20071121.0,20080626.0,37.4429424,126.8478879
경기도 광명시 노온사동 440-5,20070510.0,20070510.0,20071010.0,37.44253940000001,126.851147
경기도 광명시 노온사동 478-15,20070307.0,20070307.0,20070514.0,37.4412781,126.8493622
경기도 광명시 노온사동 533-2,20070504.0,20070504.0,20070628.0,37.4371505,126.8409422
경기도 광명시 노온사동 533-2,20070504.0,20070504.0,20070628.0,37.4371505,126.8409422
경기도 광명시 노온사동 572-12,20071129.0,20071129.0,20090113.0,37.436758,126.8436879
경기도 광명시 노온사동 574-29,20070228.0,20070228.0,20070608.0,37.4359861,126.8436441
경기도 광명시 노온사동 665-5,20070124.0,20070124.0,20070507.0,37.4325528,126.8483789
경기도 광명시 노온사동 735,20070109.0,20070109.0,20070418.0,37.427466,126.8454053
경기도 광명시 노온사동 739,20070122.0,20070122.0,20070518.0,37.4263119,126.8461845
경기도 광명시 노온사동 776-2,20070425.0,20070426.0,20070724.0,37.4311373,126.8521493
경기도 광명시 노온사동 778-3,20070413.0,20070413.0,20080318.0,37.431437,126.8517518
경기도 광명시 노온사동 778-3,20070406.0,20070406.0,20080318.0,37.431437,126.8517518
경기도 광명시 노온사동 801,20070628.0,20070628.0,20090825.0,37.4315276,126.853672
경기도 광명시 노온사동 932,20070131.0,20070131.0,20070605.0,37.4262362,126.8474121
경기도 광명시 노온사동 932,20070206.0,20070206.0,20070605.0,37.4262362,126.8474121
경기도 광명시 소하동 36-10,20070312.0,20070316.0,20070727.0,37.45164949999999,126.89007
경기도 광명시 소하동 55-182,20071114.0,20071114.0,20080118.0,37.4524306,126.8904523
경기도 광명시 소하동 753-9,20070612.0,20070612.0,20070823.0,37.4344546,126.8903039
경기도 광명시 소하동 911-3,20071022.0,20080615.0,20180315.0,37.4376282,126.8793981
경기도 광명시 소하동 1075-5,20070528.0,20070528.0,20071026.0,37.4340676,126.8790808
경기도 광명시 소하동 1235-19,20070608.0,20070608.0,20070713.0,37.4369096,126.8826048
경기도 광명시 소하동 1238,20070525.0,,20071127.0,37.4359698,126.8846037
경기도 광명시 소하동 1238,20070525.0,,20071127.0,37.4359698,126.8846037
경기도 광명시 소하동 1238-4,20070816.0,,20071130.0,37.4360059,126.8841716
경기도 광명시 소하동 1243-7,20070530.0,20070530.0,20070704.0,37.4356927,126.8801931
경기도 광명시 소하동 1260-4,20070401.0,20070402.0,20070529.0,37.4343323,126.8832139
경기도 광명시 옥길동 25-3,20070607.0,20070607.0,20071120.0,37.4698214,126.841208
경기도 광명시 옥길동 25-6,20070607.0,20070607.0,20071114.0,37.4697014,126.841236
경기도 광명시 옥길동 44-9,20071129.0,20071129.0,20080805.0,37.4700056,126.840474
경기도 광명시 옥길동 50-7,20071222.0,20081217.0,20080917.0,37.4710215,126.840829
경기도 광명시 옥길동 50-11,20071222.0,20081217.0,20080917.0,37.4709656,126.8410031
경기도 광명시 옥길동 144,20071106.0,20071106.0,20071228.0,37.4717805,126.8377829
경기도 광명시 옥길동 144,20071106.0,20071106.0,20071228.0,37.4717805,126.8377829
경기도 광명시 옥길동 187,20070529.0,20070525.0,20070919.0,37.4669059,126.8338608
경기도 광명시 일직동 220-2,20071205.0,20071205.0,20080716.0,37.4212396,126.886224
경기도 광명시 철산동 32,20070102.0,20060519.0,20070516.0,37.4890327,126.8694066
경기도 광명시 철산동 37-9,20070424.0,20070424.0,20071120.0,37.4883517,126.869573
경기도 광명시 철산동 241-3,20070911.0,,,37.4780072,126.8689771
경기도 광명시 철산동 252,20070720.0,20070720.0,20080709.0,37.4771189,126.8668548
경기도 광명시 철산동 373,20070129.0,20070129.0,20100223.0,37.4704697,126.8701516
경기도 광명시 철산동 373,20070129.0,20070129.0,20100223.0,37.4704697,126.8701516
경기도 광명시 철산동 373,20070129.0,20070129.0,20100223.0,37.4704697,126.8701516
경기도 광명시 철산동 373,20070129.0,20070129.0,20100223.0,37.4704697,126.8701516
경기도 광명시 철산동 373,20070129.0,20070129.0,20100223.0,37.4704697,126.8701516
경기도 광명시 철산동 373,20070129.0,20070129.0,20100223.0,37.4704697,126.8701516
경기도 광명시 철산동 373,20070129.0,20070129.0,20100223.0,37.4704697,126.8701516
경기도 광명시 철산동 373,20070129.0,20070129.0,20100223.0,37.4704697,126.8701516
경기도 광명시 철산동 373,20070129.0,20070129.0,20100223.0,37.4704697,126.8701516
경기도 광명시 철산동 373,20070129.0,20070129.0,20100223.0,37.4704697,126.8701516
경기도 광명시 철산동 373,20070129.0,20070129.0,20100223.0,37.4704697,126.8701516
경기도 광명시 철산동 373,20070129.0,20070129.0,20100223.0,37.4704697,126.8701516
경기도 광명시 철산동 373,20070129.0,20070129.0,20100223.0,37.4704697,126.8701516
경기도 광명시 철산동 373,20070129.0,20070129.0,20100223.0,37.4704697,126.8701516
경기도 광명시 철산동 373,20070129.0,20070129.0,20100223.0,37.4704697,126.8701516
경기도 광명시 철산동 373,20070129.0,20070129.0,20100223.0,37.4704697,126.8701516
경기도 광명시 철산동 373,20070129.0,20070129.0,20100223.0,37.4704697,126.8701516
경기도 광명시 철산동 373,20070129.0,20070129.0,20100223.0,37.4704697,126.8701516
경기도 광명시 철산동 373,20070129.0,20070129.0,20100223.0,37.4704697,126.8701516
